algoritmo utilizado,numero a buscar,tamano de n,tiempo real,encontrado
1,2109248666,4000000,2.0891904831e-02,-1
1,2147445644,4000000,2.0923137665e-02,-1
1,2147470852,4000000,2.0923137665e-02,-1
 , ,promedio,=sum(D275:D294)/count(D275:D294), 
1,0,5000000,1.9073486328e-06,1
1,5000,5000000,2.6108980179e-02,-1
1,61396,5000000,2.6087999344e-02,-1
1,152503,5000000,2.6292085648e-02,-1
1,214826,5000000,2.6109933853e-02,-1
1,322486,5000000,1.0967254639e-05,1
1,3128036,5000000,7.8916549683e-05,1
1,6337399,5000000,1.5592575073e-04,1
1,10393545,5000000,2.5510787964e-04,1
1,14700764,5000000,2.6111125946e-02,-1
1,187645041,5000000,2.6129007339e-02,-1
1,450057883,5000000,2.6167154312e-02,-1
1,1295390003,5000000,2.6122808456e-02,-1
1,1360839354,5000000,2.6171922684e-02,-1
1,1493283650,5000000,2.6110887527e-02,-1
1,1843349527,5000000,2.6110172272e-02,-1
1,1980098116,5000000,2.6098012924e-02,-1
1,2109248666,5000000,2.6185989380e-02,-1
1,2147445644,5000000,2.6126861572e-02,-1
1,2147470852,5000000,2.6152849197e-02,-1
 , ,promedio,=sum(D296:D315)/count(D296:D315), 
1,0,6000000,3.0994415283e-06,1
1,5000,6000000,3.1363010406e-02,-1
1,61396,6000000,3.1407117844e-02,-1
1,152503,6000000,3.1378984451e-02,-1
1,214826,6000000,3.1467914581e-02,-1
1,322486,6000000,1.0967254639e-05,1
1,3128036,6000000,7.8916549683e-05,1
1,6337399,6000000,1.5616416931e-04,1
1,10393545,6000000,2.5415420532e-04,1
1,14700764,6000000,3.1330108643e-02,-1
1,187645041,6000000,3.1405925751e-02,-1
1,450057883,6000000,3.1337976456e-02,-1
1,1295390003,6000000,3.1491041183e-02,-1
1,1360839354,6000000,3.1383991241e-02,-1
1,1493283650,6000000,3.1355142593e-02,-1
1,1843349527,6000000,3.1405925751e-02,-1
1,1980098116,6000000,3.1435966492e-02,-1
1,2109248666,6000000,3.1383991241e-02,-1
1,2147445644,6000000,3.1311988831e-02,-1
1,2147470852,6000000,3.1368017197e-02,-1
 , ,promedio,=sum(D317:D336)/count(D317:D336), 
1,0,7000000,2.8610229492e-06,1
1,5000,7000000,3.6653995514e-02,-1
1,61396,7000000,3.6571025848e-02,-1
1,152503,7000000,3.6550998688e-02,-1
1,214826,7000000,3.6549091339e-02,-1
1,322486,7000000,1.0967254639e-05,1
1,3128036,7000000,7.9154968262e-05,1
1,6337399,7000000,1.5592575073e-04,1
